c1738;c1655;c771;c2032;c671;c1448
79;0;63.45;478.5;236.75;68.1249999999965
1;50;230.25;783;10;0.875
45.4083333333308;0;0;453.416666666667;249;0
14;128;48;0;246.708333333332;0
89.7;238;0;492.249999999993;237;8.71249999998576
95.65;266.791666666626;79.1458333333032;514.083333333322;70.4166666666597;55.1374999999986
183.512499999997;486.208333333333;274.116666666667;867.629166666632;336;144.35
46;220.083333333322;213;336;574;27
3.7;208.041666666663;403.783333333333;171.7;3;132
92.7083333333322;304.583333333304;225.174999999998;351.7;379;178
168.027083333334;222.708333333331;292.170833333247;417.76249999997;267;247
47.4395833333271;97.5833333333333;226;152;119.920833333318;159
15;0;58;25.4291666666664;83.3;88
20.8;0;0;386.958333333324;365.7;15
0;0;6.85;209.849999999988;198.587499999998;3
151.745833333322;0;35.8;123.577083333334;237.67499999997;43
155.666666666655;0;170;104;275.7;269.416666666609
123.316666666667;0;100.358333333333;0;318.166666666643;605.208333333316
132.75;0;234.266666666667;163;74.8;350.375
86;0;71.3166666666667;292.124999999969;21.85;67
252.416666666664;0;82.541666666666;235.29166666664;10.7083333333322;244.124999999997
3.05624999999982;0;29.875;56.6;0;86.875
184.166666666663;0;119.7;255.383333333318;208.25;546.833333333329
504.387499999993;0;304.208333333326;37;322.85;91.1666666666667
0;0;0;0;0;21
148.8;0;91.5;294;25.9;0
57.7;0;67;464.512499999991;203.141666666653;20
22.495833333327;0;81.9062499999995;193;315.899999999978;2
74.35;0;420.020833333333;0;631.499999999985;288.333333333287
109.2;0;82;898.833333333322;0;336.666666666667
16;0;142.749999999979;0;409.045833333334;55
229.5;0;144.249999999996;315.833333333329;415.833333333325;20
236.362499999981;0;0;348.791666666667;2;83
131.033333333318;0;937.124999999884;28;166;85
69.7749999999999;0;91.1791666666659;0;71.181249999999;0
34.0437499999987;0;105;158.770833333333;410.829166666662;23
8.73541666666667;0;133.8;152.583333333331;232.841666666656;0
10.1;0;143.7;262;63.1;0
140.361666666661;0;97.7041666666536;518.1;76.3;0
98.9583333333333;0;88.6958333333333;164;141.833333333323;18.3541666666661
159.249999999996;0;390.520833333329;395.37499999999;560.124999999996;114.145833333333
99.3437499999823;0;427.54583333333;1746.4583333333;81.7249999999965;229
135.477083333326;0;217.133333333333;29.2;251;191
205.970833333317;0;352.508333333304;399.875;181.441666666667;124
145.864583333331;0;329.612499999979;144.875;57;121.224999999983
110.460416666666;0;484.804166666649;887;241;176.708333333287
51.772916666666;0;396.812499999974;681;122;339.666666666667
29.2104166666667;0;276.687499999997;497;413.208333333333;97
34.3;0;357.141666666655;333;42.0416666666667;0
16.3499999999972;0;78.4333333333333;585.083333333322;49.0041666666647;49.3333333333148
38.2333333333329;0;234.6;797.69999999978;134.229166666645;4.66666666666667
22.5166666666667;0;73.8;767.816666666667;106.866666666667;40
80.6583333333168;0;261.779166666663;338;121;370
92.0229166666589;0;515.520833333319;842;277.620833333332;105
270.076666666664;0;347.099999999981;576;112.979166666667;292
199.506249999978;0;130.479166666654;410;181.59583333333;358
193.916666666667;0;326.820833333333;502.333333333287;140.275;332.437499999988
109.218749999999;0;576.008333333318;555.249999999975;342.629166666667;192.0625
14.9583333333315;0;531.433333333319;204.416666666667;195.804166666651;183.233333333287
43.7520833333333;0;436.545833333328;495;199.395833333333;556.666666666667
5.75;0;251.6125;601;96.9291666666501;0
4.55;0;22.7;262;9.17083333333333;0
5.79791666666488;0;0;241.666666666657;101.3;0
42.1458333333155;0;0;52.2333333333333;115.57499999999;114.166666666644
70.7479166666637;0;0;109.5;192.025;615.833333333333
152.783333333332;0;0;540.649999999993;139.7;281.208333333235
210.142499999995;0;123.7;536.087499999988;50.4;300.791666666667
96.8899999999998;0;219.024999999997;234.6625;88.7;92.5
160.195833333325;0;632.833333333311;377.2;206.541666666666;82.0749999999646
96.6791666666641;0;333.383333333333;74.3;285.058333333333;88.6333333333099
92.9166666666592;0;290.720833333329;64.2;104.3;296.787499999963
54.9958333333334;0;162.57083333327;322.041666666633;43.7;50.5041666666667
3.05;0;72.0666666666667;636.658333333333;422.708333333299;159.5
13.6;0;254.5;643.3;91.5;0
39.7;0;267.2;228.2;146.24583333333;202.387499999967
36.2395833333327;0;122.929166666586;144.666666666657;172.733333333332;45.249999999974
102.508333333321;0;422.070833333333;137.933333333333;277.462499999997;209.9625
160.947916666639;337.020833333282;248.883333333333;330.4;233.206249999971;418.637499999977
258.416666666662;486.170833333304;230.216666666667;538.191666666646;166.352083333333;72.8625
227.252499999991;545.445833333316;152.2;229.008333333333;0.8;130.4
167.027083333333;238.0625;388.962499999979;159.5;23.4;261.299999999986
115.099999999999;161.499999999989;292.329166666632;176.1;29.3;260.470833333319
110.735416666667;107.9;400.312499999965;258.6;277.35;581.429166666667
45.7875;86.7;309.995833333333;308.5;45.55;106
17.9;82.7;141.720833333323;419.8;66.2624999999983;0
13.8562499999999;18.3;134.679166666667;302.5;31.2375;0
63.39375;105;0;84.3;98.3;32
55;143.737499999985;134.816666666664;346.7;110.839583333332;123
98.5583333333255;243.64166666666;385.074999999987;390.2;91.3666666666651;391.416666666637
180.457083333325;226.99166666665;385.608333333333;436.387499999981;50.2416666666649;372.583333333333
153.043749999994;303.770833333322;208.824999999999;311.7125;11.8020833333333;239
216.862499999991;427.474999999992;484.43749999999;286.7;115.129166666654;12
164.541666666664;261.883333333333;360.345833333332;370.8;94.9708333333333;2
108.808333333332;154.433333333329;797.241666666638;184.3;147.024999999998;0
104.782083333329;123.866666666667;385.35;287.3;231.781249999994;0
17.535416666664;106.5;278.224999999994;179.1;26.7708333333275;169
59.4708333333333;85.1;149.375;39.3499999999986;146.572916666667;82
1.25;0.3;63.9999999999861;63.9458333333186;59.35;0
17;29.2;188.9;39.9041666666667;56.1062499999998;0
38.1354166666638;24.137499999999;154.445833333314;2.1;33.14375;40
133.702083333328;211.583333333312;263.954166666667;48.7;135.052083333303;60
202.268749999997;226.179166666667;389.758333333325;80.5624999999983;54.2479166666665;268
152.577083333332;311.283333333333;260.662499999998;54.5375;122.4;425
176.395833333323;363.266666666651;211.866666666661;24.1;88.8479166666621;144
103.566666666665;251.4625;395.795833333333;259.191666666626;225.766666666653;494.624999999983
148.022916666657;227.9875;633.024999999982;158.008333333333;108.981249999992;459.175
95.5875;115.733333333329;634.079166666648;328.7;171.172916666664;463.749999999896
88.2020833333252;141.166666666667;424.099999999998;151.3;267.172916666664;387.25
25.8416666666667;80.2874999999976;352.287499999981;216.2;102.499999999992;11
14.75;41.9999999999976;340.525;361.6;45.3541666666547;0
29.0708333333332;79.3916666666654;116.508333333332;241.3;161.304166666667;0
62.8916666666649;86.1208333333334;223.491666666667;0;87.2874999999948;0
68.8466666666536;187.3;0;242.149999999979;127.566666666659;76
228.841666666664;0;353.345833333287;715.98749999996;226.795833333333;258
177.189583333319;291.199999999992;307.399999999964;366.266666666648;90.3479166666565;81
223.139166666647;228.995833333333;249.07916666666;201.595833333333;53.4520833333333;57.2499999999931
129.366666666658;272.637499999945;459.775;540;85.2062499999998;66.75
130.122916666664;239.562499999982;583.270833333261;351.7;230.99375;69
107.122916666666;193.804166666667;630.266666666649;377.7;246.099999999988;100.166666666616
47.8229166666667;128.733333333318;237.237499999998;195.7;149.908333333332;197.374999999966
3;18.5666666666667;117.170833333331;132.4;16.1916666666666;53.4583333333333
8.4;71.9;105.758333333329;343.524999999966;71.4;0
12.9;36.7916666666651;69.2958333333333;218.433333333284;55.8;3
83.4187499999898;155.208333333333;135.741666666666;304.341666666667;51.25;2.8333333333287
78.668749999999;249.8;430.616666666647;276;81.3499999999957;207.708333333272
176.937499999997;354.245833333328;326.441666666625;318.224999999955;89.5;185.458333333333
236.191666666651;411.287499999979;251.037499999993;589.98749999995;65.65;155
169.304166666667;266.1375;306.3625;645.304166666623;16.5;32
95.5291666666666;305.829166666667;338.183333333333;354.883333333333;0;177
31.2708333333305;186.679166666646;454.733333333323;56.6;46.15;124.166666666644
32.041666666665;122.558333333332;756.620833333321;245.2;124.55;466.624999999959
32.4999999999983;45.3749999999997;367.8625;102.2;31.8;62.2083333333333
12.9375;81.7583333333332;0;194.7;38.15;20
0;3.92916666666667;94.9;524.549999999937;0.05;0
14.5208333333304;91.7;53.2;229.75;0;0
28.9791666666667;66.2833333333273;210.84999999999;254.4;0;0
22.25;161.062499999998;309.699999999937;380.762499999984;45.3812499999991;89
88.7166666666645;279.833333333324;227.05;352.574999999999;51.8812499999985;73
97.9791666666616;322.724999999987;273.949999999996;256.558333333271;88.7999999999955;89
250.649999999997;432.395833333333;307.541666666662;846.02916666663;17.5583333333207;19
207.794999999991;466.799999999964;72.9083333333333;708.175;21.2333333333328;48
121.634166666667;200.3;328.154166666619;320.399999999994;155.095833333334;273.083333333322
100.354999999997;127.287499999998;433.449999999981;602.099999999986;56.35;164.916666666667
21.3;93.6749999999955;396.883333333328;95.8333333333148;83.3;85
0;20.6375;149.8125;229.066666666667;80.3;0
23.8;30.4;50.6;286.7;69.2;0
13.3349999999993;26.5916666666512;128.024999999999;309.7;19.85;0
11.9895833333278;89.5083333333333;321.575;194.3;31.8979166666649;10
117.960416666667;223.9;281.33749999998;276.5;0.452083333333334;143
84.449999999993;234.545833333306;426.22916666663;385.8;0;126
88.2187499999995;235.954166666667;258.479166666648;517.7;0;157
222.306249999975;474.129166666656;122.595833333333;215.46666666663;0;66
210.575;312.724999999997;462.758333333333;462.933333333333;56.55;88
127.9;276.949999999992;336.78333333328;292.5;30.7083333333322;154.416666666664
57;149.495833333333;330.816666666667;344.933333333265;61.8416666666666;221.583333333333
51.8;101.341666666658;256.737499999949;439.566666666667;171.05;106
12.3;47.7416666666606;154.2625;184.3;118.620833333333;15
36.6124999999982;85.0708333333327;117.5;315.445833333306;61.2999999999999;0
6.9375;18.1458333333333;62.1;300.154166666667;55.0854166666665;0
134.610416666661;235.154166666661;216.724999999999;222.9;71.1374999999946;120.083333333322
141.831249999999;292.037499999985;351.075;577.4;125.143749999991;111.916666666667
168.579166666661;260.008333333333;321.7;1074.7;56.8625;328
237.839583333328;355.9;189.666666666652;619.454166666583;49.477083333333;56
238.606249999994;437.141666666653;141.333333333333;885.862499999984;12.5729166666667;0
151.443749999994;326.379166666665;284.941666666664;239.283333333333;100.545833333331;0
150.867499999993;182.00416666666;532.933333333287;141.7;152.554166666667;121
88.7270833333334;199.833333333325;463.79999999999;219.979166666638;116.768749999997;75
98.5999999999918;129.141666666667;554.608333333333;227.320833333333;111.63125;228
20.15;75.5;225.816666666667;102.5;114;93
10.4395833333327;38.3499999999986;62.8249999999938;474.8;103.922916666663;5
22.7654166666666;73.9958333333228;210.075;322.9;124.997083333334;43
53;111.054166666667;187.854166666666;192.3;124.429166666659;30
96.9041666666647;215.683333333333;363.04166666666;311.524999999885;134.170833333333;76
249.34374999999;468.962499999951;277.504166666667;506.158333333294;109.5;209
125.364583333333;345.287499999973;354.129166666661;507.299999999919;10.2;83
200.681249999999;511.895833333297;219.554166666633;143.816666666667;17.15;40
247.845833333331;375.224999999999;446.224999999999;197.2;39.7;142.416666666664
95.0104166666665;175.266666666665;342.645833333333;80.8916666665706;80.95;123.583333333333
90.5583333333225;220.179166666667;449.712499999977;410.18749999994;36.8437499999863;498.208333333318
66.0916666666666;90.1;240.133333333333;137.120833333333;75.30625;119.791666666667
21;64;268.2;664.241666666647;8.1;14
42.4;48.1;83.3;387.958333333333;0.7;0
1.69166666666643;9.93749999999062;83.8583333333308;184.2;21.25;35
37.6583333333333;102.3625;305.216666666665;0;91.3;68
129.5;216.308333333329;407.625;544.7;170.914583333296;134.958333333325
129.549999999995;308.633333333333;467.545833333251;705.333333333243;283.735416666667;163.041666666667
211.672916666663;338.458333333333;412.770833333328;652.666666666667;90.75;140
105.081249999999;178.579166666665;319.933333333318;425.6;249.562499999977;81.3
42.4124999999977;280.016666666655;371.65;245.5;82.1875000000001;289.499999999958
44.0833333333333;227.258333333333;415.616666666664;310.9;101.618749999988;141.5
59.7874999999975;139.295833333332;411.283333333333;264.8;265.692083333295;212
34.4125;55.35;271.7;324.5;15.3041666666666;46
12.3;59.7;180.2;536.7;48.25;45
6.9;19.0458333333256;164.5;535.941666666641;0.45;0
43.35;195.658333333312;366.4;386.558333333333;65.7208333333291;20
31.3083333333322;41.637499999997;308.512499999939;161.8;99.9145833333289;68
51.6416666666665;218.058333333333;463.4875;546;206.364583333333;107.124999999997
103.812499999992;325.262499999993;502.191666666657;818.533333333273;333.110416666624;379.875
116.5375;238.062499999999;264.112499999984;522.529166666582;84.4812499999984;216.583333333308
92;502.008333333326;259.995833333333;202.9375;29.6583333333333;283.416666666667
84.6;253.449999999988;348.920833333304;0;80.05;87
0;304.916666666667;419.779166666667;371.708333333304;73;89
0;116.124999999997;436.5;152.45833333331;53.3;240
41.65;118.875;0;60.8333333333333;26.65;148
26.5;112;0;194;65.05;9
10.75;36.2;184.541666666666;231.91666666665;69.4479166666662;5
23.4;101;195.358333333333;593.083333333333;97.1020833333334;0
4.05;106.708333333332;254.108333333321;78;93.2354166666624;0
40.7229166666642;197.041666666646;397.091666666667;383.416666666609;174.214583333333;214.708333333304
95.3770833333335;441.874999999983;195.066666666666;405.583333333333;115.75;117.708333333331
0;216.66666666664;358.733333333333;67;5.75;120.583333333333
142.41041666666;500.874999999977;159.4;349.9;6.37083333332905;25
93.1416666666645;370.958333333302;162.274999999931;131.070833333325;30.4562499999997;54.8333333333287
28.8979166666666;202.24999999999;625.825;61.4291666666528;168.158333333329;96.1666666666667
